covariate_set,lag_weeks,reference_date,horizon,target_end_date,observed,median,absolute_error,squared_error
NSSP only,4,2026-01-10,3,2026-01-31,15751,14975.08645572295,775.9135442770494,602041.8281925727
NSSP only,4,2026-01-17,1,2026-01-24,16819,19490.052102118414,2671.052102118414,7134519.332231198
NSSP only,4,2026-01-17,2,2026-01-31,15751,22415.65113797238,6664.651137972382,44417574.79087656
NSSP only,4,2026-01-17,3,2026-02-07,16121,21308.889713664656,5187.889713664656,26914199.68114754
NSSP only,4,2026-01-24,1,2026-01-31,15751,17499.368055462637,1748.3680554626371,3056790.857362203
NSSP only,4,2026-01-24,2,2026-02-07,16121,16028.876780387618,92.12321961238194,8486.687591751153
NSSP only,4,2026-01-24,3,2026-02-14,16436,12425.418849174284,4010.5811508257157,16084761.167358521
NSSP only,4,2026-01-31,1,2026-02-07,16121,12974.02231798433,3146.9776820156694,9903468.531104716
NSSP only,4,2026-01-31,2,2026-02-14,16436,9183.799569117864,7252.200430882136,52594411.08968704
NSSP only,4,2026-01-31,3,2026-02-21,14731,8198.600719486436,6532.399280513564,42672240.36005413
NSSP only,4,2026-02-07,1,2026-02-14,16436,14921.48549674758,1514.5145032524197,2293754.1805619234
NSSP only,4,2026-02-07,2,2026-02-21,14731,14363.504562921979,367.4954370780215,135052.89627316606
NSSP only,4,2026-02-07,3,2026-02-28,11159,13520.869690822557,2361.8696908225575,5578428.436426243
NSSP only,4,2026-02-14,1,2026-02-21,14731,17011.94581817465,2280.9458181746486,5202713.825448417
NSSP only,4,2026-02-14,2,2026-02-28,11159,16350.484379891792,5191.484379891792,26951510.066660464
NSSP only,4,2026-02-14,3,2026-03-07,9598,15268.92513411917,5670.92513411917,32159391.87678453
NSSP only,4,2026-02-21,1,2026-02-28,11159,12255.061124726755,1096.0611247267552,1201349.9891372796
NSSP only,4,2026-02-21,2,2026-03-07,9598,10832.818730301768,1234.8187303017676,1524777.2967040695
NSSP only,4,2026-02-21,3,2026-03-14,7793,10548.097270562364,2755.0972705623644,7590560.97026019
NSSP only,4,2026-02-28,1,2026-03-07,9598,8836.433248699768,761.5667513002318,579983.9166859891
NSSP only,4,2026-02-28,2,2026-03-14,7793,8376.001699520473,583.0016995204733,339890.9816437602
NSSP only,4,2026-02-28,3,2026-03-21,6088,8610.849935653492,2522.849935653492,6364771.797826829
NSSP only,4,2026-03-07,1,2026-03-14,7793,9766.524459923803,1973.524459923803,3894798.7939175386
NSSP only,4,2026-03-07,2,2026-03-21,6088,10139.096893750448,4051.0968937504476,16411386.042554526
NSSP only,4,2026-03-07,3,2026-03-28,3306,9854.668829838318,6548.668829838318,42885063.442895964
NSSP only,4,2026-03-14,1,2026-03-21,6088,6522.3632003794155,434.3632003794155,188671.38984384827
NSSP only,4,2026-03-14,2,2026-03-28,3306,5882.799455113866,2576.7994551138663,6639895.431875118
NSSP only,4,2026-03-14,3,2026-04-04,2901,5876.098291636007,2975.098291636007,8851209.844895488
NSSP only,4,2026-03-21,1,2026-03-28,3306,5089.845181563204,1783.8451815632043,3182103.631786261
NSSP only,4,2026-03-21,2,2026-04-04,2901,5007.377497391773,2106.3774973917734,4436826.16151843
NSSP only,4,2026-03-21,3,2026-04-11,2235,5201.726807145167,2966.726807145167,8801467.948233757
NSSP only,4,2026-03-28,1,2026-04-04,2901,1752.6457154847558,1148.3542845152442,1318717.5627645184
NSSP only,4,2026-03-28,2,2026-04-11,2235,1633.1419913699337,601.8580086300663,362233.0625521489
NSSP only,4,2026-03-28,3,2026-04-18,1941,2232.091623162941,291.0916231629408,84734.33307563551
NSSP only,4,2026-04-04,1,2026-04-11,2235,3725.4539457561186,1490.4539457561186,2221452.964419983
NSSP only,4,2026-04-04,2,2026-04-18,1941,4526.696818569186,2585.696818569186,6685828.037558809
NSSP only,4,2026-04-04,3,2026-04-25,1877,4783.021494800434,2906.021494800434,8444960.928242149
NSSP only,4,2026-04-11,1,2026-04-18,1941,1809.6379440139035,131.3620559860965,17255.98975289435
NSSP only,4,2026-04-11,2,2026-04-25,1877,1789.3801025298126,87.61989747018742,7677.246432686156
NSSP only,4,2026-04-11,3,2026-05-02,1649,2208.5097016001882,559.5097016001882,313051.1061847317
NSSP only,4,2026-04-18,1,2026-04-25,1877,2028.4615401300916,151.46154013009163,22940.59813857936
NSSP only,4,2026-04-18,2,2026-05-02,1649,2471.5203106171903,822.5203106171903,676539.6613777991
NSSP only,4,2026-04-18,3,2026-05-09,1473,3014.5634799204017,1541.5634799204017,2376417.962624299
NSSP only,4,2026-04-25,1,2026-05-02,1649,2195.6182829197305,546.6182829197305,298791.5472221146
