reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.75,4366
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.8,4878
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.85,5475
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.9,6227
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.95,7341
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.975,8307
2025-10-11,wk inc flu hosp,1,2025-10-18,US,quantile,0.99,9430
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.01,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.025,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.05,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.1,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.15,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.2,0
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.25,698
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.3,1555
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.35,2350
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.4,3104
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.45,3833
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.5,4551
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.55,5269
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.6,5999
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.65,6753
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.7,7548
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.75,8405
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.8,9360
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.85,10473
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.9,11873
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.95,13949
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.975,15750
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.99,17843
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.01,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.025,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.05,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.1,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.15,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.2,920
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.25,2174
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.3,3299
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.35,4342
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.4,5332
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.45,6289
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.5,7232
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.55,8174
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.6,9132
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.65,10121
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.7,11164
