reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.4,22300
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.45,23338
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.5,24360
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.55,25382
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.6,26420
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.65,27493
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.7,28624
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.75,29845
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.8,31204
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.85,32788
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.9,34781
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.95,37736
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.975,40298
2026-02-07,wk inc flu hosp,3,2026-02-28,US,quantile,0.99,43277
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.01,10683
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.025,11856
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.05,12865
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.1,14029
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.15,14814
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.2,15438
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.25,15973
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.3,16454
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.35,16899
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.4,17322
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.45,17731
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.5,18133
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.55,18536
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.6,18945
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.65,19367
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.7,19813
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.75,20293
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.8,20829
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.85,21453
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.9,22238
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.95,23401
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.975,24410
2026-02-14,wk inc flu hosp,1,2026-02-21,US,quantile,0.99,25584
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.01,6694
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.025,8988
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.05,10961
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.1,13235
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.15,14770
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.2,15990
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.25,17036
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.3,17976
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.35,18847
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.4,19673
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.45,20472
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.5,21259
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.55,22046
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.6,22845
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.65,23671
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.7,24542
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.75,25482
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.8,26528
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.85,27748
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.9,29283
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.95,31557
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.975,33530
2026-02-14,wk inc flu hosp,2,2026-02-28,US,quantile,0.99,35824
2026-02-14,wk inc flu hosp,3,2026-03-07,US,quantile,0.01,4648
