reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.85,7559
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.9,8682
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.95,10346
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.975,11790
2025-10-11,wk inc flu hosp,2,2025-10-25,US,quantile,0.99,13468
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.01,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.025,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.05,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.1,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.15,0
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.2,460
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.25,1087
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.3,1650
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.35,2171
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.4,2666
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.45,3368
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.5,4152
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.55,4934
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.6,5730
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.65,6552
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.7,7419
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.75,8354
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.8,9396
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.85,10610
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.9,12138
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.95,14402
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.975,16365
2025-10-11,wk inc flu hosp,3,2025-11-01,US,quantile,0.99,18648
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.01,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.025,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.05,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.1,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.15,0
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.2,40
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.25,328
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.3,682
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.35,1010
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.4,1322
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.45,1624
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.5,1920
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.55,2216
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.6,2518
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.65,2830
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.7,3158
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.75,3512
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.8,3906
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.85,4366
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.9,4945
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.95,5802
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.975,6546
2025-10-18,wk inc flu hosp,1,2025-10-25,US,quantile,0.99,7412
