model,reference_date,horizon,n_training_rows,target_end_date,min_training_target,max_training_target,nrounds,eta,max_depth,subsample,colsample_bytree,features
XGBoost + leading indicators,2026-01-24,1,75,2026-01-31,2024-08-24,2026-01-24,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-24,2,75,2026-02-07,2024-08-24,2026-01-24,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-24,3,75,2026-02-14,2024-08-24,2026-01-24,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-31,1,76,2026-02-07,2024-08-24,2026-01-31,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-31,2,76,2026-02-14,2024-08-24,2026-01-31,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-01-31,3,76,2026-02-21,2024-08-24,2026-01-31,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-07,1,77,2026-02-14,2024-08-24,2026-02-07,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-07,2,77,2026-02-21,2024-08-24,2026-02-07,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-07,3,77,2026-02-28,2024-08-24,2026-02-07,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-14,1,78,2026-02-21,2024-08-24,2026-02-14,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-14,2,78,2026-02-28,2024-08-24,2026-02-14,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-14,3,78,2026-03-07,2024-08-24,2026-02-14,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-21,1,79,2026-02-28,2024-08-24,2026-02-21,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-21,2,79,2026-03-07,2024-08-24,2026-02-21,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-21,3,79,2026-03-14,2024-08-24,2026-02-21,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
XGBoost + leading indicators,2026-02-28,1,80,2026-03-07,2024-08-24,2026-02-28,220,0.08,2,0.7,0.7,lag1; lag2; lag3; lag4; sin1; cos1; sin2; cos2; wval_lag6; nssp_flu_lag6
